"Response ID","Date submitted","Last page","Start language","Seed","{if(is_empty(eqZufall),rand(1,2),eqZufall)}","Imagine the following situation: Two individuals are given access to an investment opportunity.   They can choose between:    	not investing and receiving 30 CHF, or  	investing, which gives a 50% chance of receiving 60 CHF and a 50% chance of receiving 0 CHF (expected value: 30 CHF).   Your task is to decide how to distribute the total amount of money received by the two individuals. You will make this decision for three different situations. Before each decision, you will be informed about whether each person chose to invest, and how much money they received.  ","In this case, Person A chose not to invest and Person B chose to invest and ended up with 60 CHF. How would you distribute the total of 90 CHF between them? [A (non-investor)]","In this case, Person A chose not to invest and Person B chose to invest and ended up with 60 CHF. How would you distribute the total of 90 CHF between them? [B (investor)]","In this case, Person A chose not to invest and Person B chose to invest and ended up with 0 CHF. How will you distribute the total amount received by the individuals (30 CHF)? [A (non-investor)]","In this case, Person A chose not to invest and Person B chose to invest and ended up with 0 CHF. How will you distribute the total amount received by the individuals (30 CHF)? [B (investor)]","In this case, both chose to invest. Person A ended up with 0 CHF and Person B ended up with 60 CHF. How would you distribute the total of 60 CHF between them? [Person A]","In this case, both chose to invest. Person A ended up with 0 CHF and Person B ended up with 60 CHF. How would you distribute the total of 60 CHF between them? [Person B]","Imagine the following situation: Two individuals each receive 30 CHF. Additionally, Person A is given access to an investment opportunity, while Person B is not.   Investing comes with a 50% chance of receiving 60 CHF and a 50% chance of receiving 0 CHF (expected value = 30 CHF). Person A makes a choice between this risky option and a safe 30 CHF.  Your task is to decide how to distribute the total amount of money between the two individuals. You will make this decision for three different situations. Before each decision, you will be informed about whether Person A chose to invest, and how much money each individual received. ","In this case, Person A, who had the option to invest, chose to invest and ended up with 60 CHF. Person B, with no option to invest, received the initial 30 CHF. How would you distribute the total of 90 CHF between them?  [Person A (investor)]","In this case, Person A, who had the option to invest, chose to invest and ended up with 60 CHF. Person B, with no option to invest, received the initial 30 CHF. How would you distribute the total of 90 CHF between them?  [Person B (non-investor)]","In this case, Person A, who had the option to invest, chose to invest and ended up with 0 CHF. Person B, with no option to invest, received the initial 30 CHF. How would you distribute the total of 30 CHF between them? [Person A (investor)]","In this case, Person A, who had the option to invest, chose to invest and ended up with 0 CHF. Person B, with no option to invest, received the initial 30 CHF. How would you distribute the total of 30 CHF between them? [Person B (non-investor)]","Now imagine that Person B also received access to the investment opportunity, and both chose to invest. Person A ended up with 0 CHF and Person B ended up with 60 CHF. How would you distribute the total of 60 CHF between them? [Person A]","Now imagine that Person B also received access to the investment opportunity, and both chose to invest. Person A ended up with 0 CHF and Person B ended up with 60 CHF. How would you distribute the total of 60 CHF between them? [Person B]","Below is a seven-point scale on which the political views that people might hold are arranged from very left-wing (1) to very right-wing (7). Where would you place yourself on this scale?","Below is a ten-point scale on which people’s willingness to take financial risks is arranged from not at all willing (1) to very willing (10). This could, for example, involve choosing between a safe option with a guaranteed outcome and a risky option with higher but uncertain returns. Where would you place yourself on this scale?","In your opinion, what mainly determines success in life on a scale from 1 (success mainly depends on effort) to 10 (success mainly depends on luck)?","What is the highest level of education you have completed?","How old are you?","What is your gender?","What is your current gross monthly income?"
"229","1980-01-01 00:00:00","16","en","754159964","2",,,,,,,,"","60","30","0","30","30","30","2 (left wing)","5 (neutral)","7","Doctoral degree / PhD","20-29","Male","CHF 6'000 – 7'999"
"230","1980-01-01 00:00:00","16","en","959238262","2",,,,,,,,"","55","35","10","20","30","30","3 (slightly left wing)","8","5 (success depends equally on effort and luck)","Preparatory High School (Gymnasium)","Below 20","Male","Below CHF 2'000"
"231",,"2","en","1589788516","1","",,,,,,,,,,,,,,,,,,,,
"232","1980-01-01 00:00:00","16","en","7960380","2",,,,,,,,"","45","45","15","15","30","30","4 (moderate)","3","5 (success depends equally on effort and luck)","Bachelor's degree (university and university of applied sciences)","40-49","Male","CHF 6'000 – 7'999"
"233","1980-01-01 00:00:00","16","en","311271546","2",,,,,,,,"","60","30","0","30","0","60","4 (moderate)","7","9","Doctoral degree / PhD","30-39","Male","Prefer not to say"
"234",,"1","en","679186491","1",,,,,,,,,,,,,,,,,,,,,
"235","1980-01-01 00:00:00","16","en","960129534","1","","30","60","30","0","0","60",,,,,,,,"4 (moderate)","4","3","Bachelor's degree (university and university of applied sciences)","20-29","Female","Below CHF 2'000"
"236",,"2","en","1648384129","1","",,,,,,,,,,,,,,,,,,,,
"237","1980-01-01 00:00:00","16","en","1253827286","1","","30","60","30","0","0","60",,,,,,,,"4 (moderate)","4","3","Master's degree (university and university of applied sciences)","30-39","Male","CHF 8'000 – 9'999"
"238","1980-01-01 00:00:00","16","en","339443074","1","","30","60","30","0","0","60",,,,,,,,"4 (moderate)","7","4","Master's degree (university and university of applied sciences)","20-29","Male","CHF 8'000 – 9'999"
"239","1980-01-01 00:00:00","16","en","695098790","2",,,,,,,,"","45","45","0","30","0","60","4 (moderate)","7","3","Bachelor's degree (university and university of applied sciences)","30-39","Female","CHF 4'000 – 5'999"
"240","1980-01-01 00:00:00","16","en","226026064","2",,,,,,,,"","60","30","0","30","0","60","5 (slightly right wing)","6","6","Bachelor's degree (university and university of applied sciences)","30-39","Female","CHF 2'000 - 3'999"
"241","1980-01-01 00:00:00","16","en","197352683","2",,,,,,,,"","55","35","5","25","10","50","3 (slightly left wing)","9","3","Bachelor's degree (university and university of applied sciences)","40-49","Male","CHF 6'000 – 7'999"
"242","1980-01-01 00:00:00","16","en","1592201697","1","","30","60","30","0","0","60",,,,,,,,"4 (moderate)","7","6","Master's degree (university and university of applied sciences)","70 or above","Male","CHF 6'000 – 7'999"
"243","1980-01-01 00:00:00","16","en","1967903675","1","","30","60","30","0","25","35",,,,,,,,"5 (slightly right wing)","8","4","Master's degree (university and university of applied sciences)","20-29","Male","CHF 6'000 – 7'999"
"244",,"1","en","639234086","1",,,,,,,,,,,,,,,,,,,,,
"245","1980-01-01 00:00:00","16","en","1475154384","2",,,,,,,,"","45","45","0","30","30","30","2 (left wing)","6","8","Master's degree (university and university of applied sciences)","30-39","Female","Below CHF 2'000"
"246","1980-01-01 00:00:00","16","en","679933302","1","","30","60","30","0","0","60",,,,,,,,"4 (moderate)","6","5 (success depends equally on effort and luck)","Bachelor's degree (university and university of applied sciences)","20-29","Male","Below CHF 2'000"
"247","1980-01-01 00:00:00","16","en","1796205138","2",,,,,,,,"","50","40","0","30","15","45","2 (left wing)","5 (neutral)","6","Master's degree (university and university of applied sciences)","20-29","Male","CHF 4'000 – 5'999"
"248","1980-01-01 00:00:00","16","en","1294157450","1","","45","45","15","15","30","30",,,,,,,,"1 (very left wing)","4","4","Master's degree (university and university of applied sciences)","20-29","Female","CHF 4'000 – 5'999"
"249",,"10","en","386437156","1","","30","60","30","0","0","60",,,,,,,,"4 (moderate)",,,,,,
"250",,"8","en","15108237","2",,,,,,,,"","60","30","0","30",,,,,,,,,
"251","1980-01-01 00:00:00","16","en","1565037372","2",,,,,,,,"","60","30","0","30","0","60","3 (slightly left wing)","7","5 (success depends equally on effort and luck)","Preparatory High School (Gymnasium)","20-29","Male","CHF 2'000 - 3'999"
"252","1980-01-01 00:00:00","16","en","1386356023","2",,,,,,,,"","60","30","0","30","30","30","3 (slightly left wing)","3","7","Preparatory High School (Gymnasium)","20-29","Female","Below CHF 2'000"
"253","1980-01-01 00:00:00","16","en","1655470807","1","","30","60","30","0","30","30",,,,,,,,"2 (left wing)","2","4","Preparatory High School (Gymnasium)","20-29","Female","Below CHF 2'000"
"254","1980-01-01 00:00:00","16","en","1022099229","1","","30","60","30","0","0","60",,,,,,,,"3 (slightly left wing)","4","5 (success depends equally on effort and luck)","Master's degree (university and university of applied sciences)","20-29","Male","CHF 6'000 – 7'999"
"255",,"6","en","887330954","2",,,,,,,,"",,,,,,,,,,,,,
"256","1980-01-01 00:00:00","16","en","453883926","2",,,,,,,,"","60","30","0","30","0","60","2 (left wing)","3","4","Bachelor's degree (university and university of applied sciences)","20-29","Male","Below CHF 2'000"
"257","1980-01-01 00:00:00","16","en","1011542285","2",,,,,,,,"","45","45","5","25","20","40","4 (moderate)","6","3","Preparatory High School (Gymnasium)","20-29","Female","Below CHF 2'000"
"258","1980-01-01 00:00:00","16","en","323698291","1","","30","60","30","0","30","30",,,,,,,,"5 (slightly right wing)","6","5 (success depends equally on effort and luck)","Master's degree (university and university of applied sciences)","20-29","Male","Below CHF 2'000"
"259","1980-01-01 00:00:00","16","en","194322628","2",,,,,,,,"","50","40","0","30","10","50","3 (slightly left wing)","8","3","Master's degree (university and university of applied sciences)","50-59","Male","CHF 8'000 – 9'999"
"260","1980-01-01 00:00:00","16","en","914286375","1","","30","60","30","0","30","30",,,,,,,,"4 (moderate)","4","2","Bachelor's degree (university and university of applied sciences)","20-29","Male","Below CHF 2'000"
"261","1980-01-01 00:00:00","16","en","788073039","2",,,,,,,,"","60","30","7","23","20","40","2 (left wing)","3","5 (success depends equally on effort and luck)","Preparatory High School (Gymnasium)","20-29","Male","Below CHF 2'000"
"262","1980-01-01 00:00:00","16","en","1381166366","1","","30","60","30","0","0","60",,,,,,,,"3 (slightly left wing)","6","9","Bachelor's degree (university and university of applied sciences)","20-29","Male","Below CHF 2'000"
"263","1980-01-01 00:00:00","16","en","1865355661","1","","30","60","30","0","0","60",,,,,,,,"3 (slightly left wing)","7","7","Preparatory High School (Gymnasium)","20-29","Male","Below CHF 2'000"
"264","1980-01-01 00:00:00","16","en","1308515171","1","","45","45","15","15","30","30",,,,,,,,"2 (left wing)","4","3","Preparatory High School (Gymnasium)","20-29","Male","Below CHF 2'000"
